,Lat,Lon,Helsinki Central Library,Amos Rex,Helsinki Olympic Stadium,Helsinki Cathedral,Senate Square,Vanha Kauppahalli,Helsinki ZOO,Sibelius Monument,Loyly,Suomenlinna,Helsinki Market Square,Temppeliaukio Church,Seurasaari Open-Air Museum,Linnanmaki Amusement Park,Allas Sea Pool
0,60.13441,24.66704,18.15089500000001,17.787622000000006,18.426103999999995,18.838008,18.724813999999995,18.754491000000005,22.375319999999974,17.802751,18.664063999999996,19.652514999999987,18.559683,17.659273000000006,15.90786400000001,19.109949999999994,18.981344
1,60.13576,24.66704,17.977598000000004,17.614325000000004,18.258432000000003,18.670336000000006,18.557142000000002,18.581194000000004,22.20764799999998,17.635079000000008,18.496392000000004,19.484842999999998,18.386386,17.49160100000001,15.73456700000001,18.942278,18.808047000000002
2,60.13711,24.66704,17.902413000000006,17.539140000000007,18.183247000000005,18.59515100000001,18.481957000000005,18.506009000000006,22.132462999999984,17.55989400000001,18.421207000000006,19.409658,18.311201000000004,17.416416000000012,15.65938200000001,18.867093000000004,18.732862000000004
3,60.13846,24.66704,17.718600000000002,17.355327000000003,17.99947000000001,18.411478000000002,18.298284,18.322195999999998,21.948789999999978,17.376221000000005,18.237534,19.225984999999994,18.127388,17.232743000000006,15.475569000000009,18.683419999999998,18.549049
4,60.13982,24.66704,17.633903000000007,17.271576000000007,17.905206000000007,18.317110000000007,18.203916000000003,18.238445000000006,21.854421999999985,17.28185300000001,18.143166000000004,19.131617,18.043637000000007,17.138375000000014,15.39181800000001,18.589052000000002,18.465298000000008
5,60.14117,24.66704,17.465015999999995,17.103511,17.736318999999995,18.148222999999998,18.035028999999994,18.07038,21.685534999999973,17.112966,17.974278999999996,18.96272999999999,17.875572000000002,16.969488000000005,15.223753000000013,18.420164999999994,18.297233
6,60.14252,24.66704,17.282657000000004,16.919384,17.563527000000008,17.977830000000004,17.864636,17.886253,21.515141999999983,16.942573000000007,17.803886000000002,18.792336999999996,17.691444999999998,16.799095000000012,15.039626000000013,18.249772,18.113106
7,60.14387,24.66704,17.370065999999998,17.006792999999995,17.637632999999994,18.062943999999998,17.94974999999999,17.973661999999994,21.600255999999984,17.014279999999996,17.888999999999992,18.877450999999997,17.778853999999992,16.884209000000002,15.11689400000001,18.321479,18.200515
8,60.14522,24.66704,17.418795000000006,17.055522,17.687868,18.113179000000006,17.999985000000002,18.022391,21.65049099999999,17.064515000000004,17.939235,18.927686000000005,17.827582999999997,16.934444000000006,15.165623000000007,18.371714000000008,18.249244000000004
9,60.14657,24.66704,17.318425000000005,16.955152000000002,17.587498000000004,18.012809000000008,17.899615,17.922021,21.550120999999994,16.964145000000006,17.838865000000002,18.827316000000007,17.727213,16.834074000000008,15.065253000000004,18.27134400000001,18.148874000000006
10,60.14792,24.66704,17.31387800000001,16.950605000000003,17.582951000000005,18.00826200000001,17.895068000000002,17.917474000000002,21.545573999999995,16.959598000000007,17.834318000000003,18.822769000000008,17.722666,16.82952700000001,15.060706000000003,18.26679700000001,18.144327000000008
11,60.14927,24.66704,17.068053999999997,16.704781,17.24564,17.760932,17.647737999999993,17.671649999999993,21.298243999999983,16.622287,17.586987999999995,18.575439,17.476841999999994,16.582197,14.723871,17.929486,17.898503
12,60.15062,24.66704,17.154442999999997,16.791169999999997,17.332029000000002,17.847321,17.734126999999994,17.758038999999993,21.384632999999983,16.708676,17.67337699999999,18.661827999999996,17.56323099999999,16.668585999999998,14.81026,18.015875,17.984892
13,60.15197,24.66704,17.110784999999996,16.747512,17.054204000000006,17.803663,17.690468999999993,17.714380999999992,21.340974999999982,16.430851000000004,17.629718999999994,18.61817,17.519572999999994,16.624928,14.532435000000001,17.73805,17.941234
14,60.15332,24.66704,17.018259999999998,16.662682999999998,16.874248,17.701467,17.588272999999997,17.629551999999997,21.19045899999998,16.250895000000003,17.527523,18.515973999999996,17.434743999999995,16.522732000000005,14.352478999999999,17.558094,17.856404999999995
15,60.15468,24.66704,16.877682999999998,16.522106,16.733671,17.56089,17.447695999999997,17.488974999999996,21.04988199999998,16.110318000000003,17.386945999999995,18.375396999999992,17.294166999999995,16.382155000000004,14.211902,17.417517,17.715827999999995
16,60.15603,24.66704,16.855349999999998,16.499772999999994,16.711338,17.538557,17.425362999999997,17.466641999999997,21.02754899999998,16.087985,17.364613,18.353063999999996,17.271833999999995,16.359822000000005,14.189568999999997,17.395184,17.693494999999995
17,60.15738,24.66704,16.905065000000008,16.545677999999995,16.759375000000006,17.588272000000007,17.475078000000003,17.512547,21.07726399999999,16.1377,17.414328000000005,18.402779000000002,17.317739000000003,16.409537,14.235473999999996,17.44489900000001,17.7394
18,60.15873,24.66704,17.033185000000007,16.673797999999994,16.887495000000005,17.716392000000006,17.603198000000003,17.640667,21.205383999999988,16.265819999999998,17.542448000000004,18.530899,17.445859,16.537657000000003,14.363593999999997,17.57301900000001,17.86752
19,60.16008,24.66704,17.097799000000006,16.737562,16.951259000000007,17.78100600000001,17.667812000000005,17.704431,21.26999799999999,16.330434000000007,17.607062000000006,18.595513000000004,17.509623,16.602271000000012,14.427358000000003,17.637633000000008,17.931283999999998
20,60.16143,24.66704,17.139128,16.781143,16.99484000000001,17.822335000000002,17.709141,17.748012,21.311326999999988,16.371763000000005,17.648390999999997,18.636842,17.553203999999997,16.64360000000001,14.470939000000001,17.678962,17.974865
