,Helsinki Central Library,Amos Rex,Helsinki Olympic Stadium,Helsinki Cathedral,Senate Square,Vanha Kauppahalli,Helsinki ZOO,Sibelius Monument,Loyly,Suomenlinna,Helsinki Market Square,Temppeliaukio Church,Seurasaari Open-Air Museum,Linnanmaki Amusement Park,Allas Sea Pool,Lat,Lon
0,4.3783129999999995,5.481070999999999,3.5007740000000003,4.551310000000002,4.664504000000002,5.019535000000001,4.177587000000001,4.331892999999996,7.3621279999999985,6.426225000000003,4.877044000000001,4.970882,5.609436000000001,2.6725820000000007,5.002556,60.205577,24.962152
0,9.500319000000003,10.602960999999997,8.804834999999997,9.645477999999999,9.758672,10.113703,9.039615999999997,9.635954000000003,12.456295999999993,11.520392999999997,9.966254000000005,10.092888,10.777911999999997,7.976643,10.096724000000005,60.2340530100318,25.032857400999006
0,1.1266060000000002,1.6732980000000002,1.5552329999999996,2.3502630000000004,2.2370690000000004,2.430032,5.520896,1.2373140000000002,3.2845370000000003,3.827103999999998,2.378749,0.6079629999999999,3.3667339999999997,2.254873999999999,2.724559999999999,60.1760798,24.9223942
0,4.101434,5.2040760000000015,3.685711999999999,4.246593000000001,4.359787000000001,4.714818000000002,3.7822450000000005,4.412342999999999,7.057410999999998,6.121508000000004,4.559843000000002,4.6940029999999995,5.926669000000002,2.601735,4.697839000000001,60.2027912,24.9666128
0,5.029309999999999,6.131952000000002,4.613588,5.174469000000002,5.287663000000002,5.6426940000000005,4.472098,5.340218999999998,7.985287,7.0493840000000025,5.482255000000001,5.621878999999998,6.797117000000003,3.529611000000001,5.6257150000000005,60.20649156514502,24.977079011778606
0,2.067198,3.0100199999999995,1.7089260000000002,2.052537,2.165731,2.520762000000001,3.082400000000001,2.433602,4.863355,3.9274519999999997,2.5269939999999997,2.700154,4.294771,1.1878490000000002,2.6499529999999996,60.1868618,24.9509168
0,2.11076,3.2135179999999997,1.6950380000000003,2.4376409999999997,2.5508349999999997,2.905866000000001,3.3903640000000013,2.421669,5.189362000000002,4.312556000000002,2.7922599999999984,2.703328999999999,4.282838,0.7115840000000001,3.092517,60.1896706,24.9481024
0,1.7296779999999996,2.835244,1.3139560000000001,2.21786,2.331054,2.686085000000001,3.7062610000000014,2.040587,4.811088000000001,4.0927750000000005,2.572479000000001,2.3222469999999995,3.9017559999999993,1.051422,2.8861120000000007,60.186979,24.943358
0,3.0125509999999998,4.1282049999999995,2.2236870000000004,3.2654070000000006,3.3786010000000006,3.733632000000002,3.900050000000001,3.0548059999999984,6.076225,5.140322000000004,3.6240399999999995,3.4282779999999997,4.489376999999999,1.1107759999999998,3.8628229999999992,60.1962627,24.9476186
0,2.950371,4.026965000000001,1.4368380000000003,3.921033,4.034227,4.389258000000001,5.014336,2.230268,6.006310999999999,5.795948000000003,4.249908,3.278275000000001,3.289119,1.438774,4.589285000000002,60.1975724,24.9267808
0,2.435634,3.365325999999999,2.0199119999999997,2.4078429999999993,2.5210369999999993,2.8760680000000005,3.2558140000000013,2.746542999999998,5.218661000000001,4.282758,2.7624619999999998,3.028202999999999,4.6077119999999985,1.036458,3.005259,60.1895417,24.9521601
0,1.8774680000000004,2.0484299999999998,2.353166,1.0909470000000001,1.2041410000000001,1.5591719999999998,3.101028000000001,3.0317489999999987,3.901765,2.965861999999999,1.399673,2.417323,4.892918,2.1042829999999997,1.7591990000000004,60.17810631604,24.95218124892
0,3.77319,4.728572000000001,3.357467999999999,3.7710890000000012,3.8842830000000013,4.239314000000001,3.165617,4.084098999999998,6.581907,5.646004000000004,4.080331000000001,4.365759000000001,5.803144000000002,2.273491,4.222335000000001,60.1985314,24.9676708
0,3.0231140000000005,4.138768,2.607392,3.3178080000000003,3.4310020000000003,3.7860330000000015,3.4916480000000005,3.334022999999999,6.119294000000001,5.1927230000000035,3.6706119999999993,3.6156830000000006,4.985502000000001,1.5203099999999998,3.9152239999999994,60.19588479865,24.95453389981
0,4.621613000000001,5.365474,3.3986579999999997,5.885175,5.771980999999999,5.964944,7.714868999999999,2.783715,6.862261,7.362016000000003,5.817703000000002,4.300139000000001,1.438949,4.082504000000001,6.259472000000001,60.1996653,24.8836209
0,4.537821,5.640579000000001,3.9642370000000007,4.710818000000002,4.824012000000002,5.179043000000001,4.334669000000001,4.795355999999997,7.521635999999998,6.585733000000003,5.036552000000001,5.1303899999999985,6.072899000000002,3.0381220000000018,5.162063999999999,60.2078582,24.9676383
0,3.829138000000001,4.134332000000001,3.792807999999999,3.176849000000001,3.290043000000001,3.6450740000000024,1.012874,4.517484,5.987667000000001,5.051764000000005,3.459404,4.503225000000003,6.378652999999999,3.083245000000001,3.421900999999999,60.18265182058,24.98179260578
0,5.945077999999998,7.047835999999998,5.023610000000003,6.118075000000003,6.231269000000003,6.586300000000002,5.741925999999999,5.854729000000001,8.928893,7.992990000000004,6.4438090000000035,6.537646999999998,6.727531000000001,4.259360000000002,6.569321,60.2184427,24.9664619
0,0.9355120000000001,1.1143969999999999,2.4031789999999997,0.990668,0.9169919999999999,1.2562969999999996,4.138719000000002,2.868721,3.113474,2.662986999999999,1.1065649999999998,1.4785270000000004,4.868304,2.188625,1.4692830000000001,60.17319894172505,24.943301000681707
0,3.657919,3.9782490000000004,3.299647,3.020766000000001,3.133960000000001,3.488991000000002,1.7601280000000001,4.024322999999999,5.831584000000001,4.895681000000004,3.338424,4.290875000000001,5.885492000000002,2.375716,3.265818,60.18755649,24.9770684
