,departure_name,departure_latitude,departure_longitude
452,Orpaanporras,60.22356519670723,25.0654218381558
461,Keilaniemi (M),60.175233,24.82895
471,Teljäntie,60.20969562580255,24.868739477207995
477,Korppaanmäentie,60.2034735,24.8989297
480,Aulangontie,60.23030192663912,24.998533819860555
483,Hietaniemenkatu,60.1733331557525,24.907670424697
492,Ulvilantie,60.2038803,24.8708833
503,Pohjolanaukio,60.2172043,24.9544112
505,Töölöntori,60.1791231,24.9249114
539,Suomenlahdentie,60.160015,24.741294
540,Gunillantie,60.171980271468335,25.032968849816825
549,Venttiilikuja,60.1942095,24.941578
561,Auringonkatu,60.171548,24.731472
580,Etuniementie,60.160645,24.724835
581,Kuikkarinne,60.15708560052,24.86930605276
602,Luoteisväylä,60.1654485,24.8601992
604,Friisilänaukio,60.162842,24.721367
609,Annankatu,60.16345894291,24.94177084206
617,Painiitty,60.235089,24.831397
630,Asentajanpuisto,60.19912713758262,25.042592465753465
647,Rajasaarentie,60.183137,24.911127
654,Muurarinkuja,60.223769,24.812271
655,Seurasaari,60.188399,24.8847362
663,Melkonkuja,60.1498127,24.8861094
670,Niittymaa,60.171127,24.775913
677,Ritarikatu,60.17110664588,24.95555819284
681,Ruomelantie,60.174524,24.729314
691,Thalianaukio,60.22534052315868,24.894792651160333
717,Betonimies,60.180027,24.831804
727,Agronominkatu,60.2340530100318,25.032857400999006
730,Vallikatu,60.228463,24.813871
743,Säteri,60.213443,24.811572
751,Otaranta,60.18483,24.837133
753,Puistokaari,60.157875,24.86202
773,Westendintie,60.158194,24.791754
785,Linnakepolku,60.1637,24.790132
812,Gallen-Kallelan tie,60.206142,24.840699
829,A.I. Virtasen aukio,60.205577,24.962152
843,Mäkkylän asema,60.220467,24.83939
847,Hakaniemi (M),60.17810631604,24.95218124892
850,Leppävaaranaukio,60.218731,24.814828
883,Pernajantie,60.1942342,24.9579931
885,Haakoninlahdenkatu,60.16886855835367,25.020860955309665
908,Ratsutori,60.217311,24.812419
914,Siltavoudintie,60.23370685633967,24.96539507775229
917,Tenholantie,60.2024393,24.9054609
918,Mäkitorpantie,60.230141,24.962531
930,Kulttuuriaukio,60.177588,24.803942
947,Nuottaniementie,60.147921,24.741546
955,Teollisuuskatu,60.193486,24.9487524
958,Juhana Herttuan tie,60.2184427,24.9664619
959,Keilaranta,60.178762,24.835132
963,Salmisaarenranta,60.16478138043,24.90096080349
980,Metsänneidonpolku,60.186731,24.806152
985,Itäkeskus (M),60.20960066552812,25.07596801515546
992,Reiherintie,60.16773050334599,25.047496264887712
1005,Töölöntulli,60.19095693226663,24.91282713542788
1013,Mankkaanaukio,60.194599,24.769021
1017,Leppävaarankäytävä,60.220254,24.813437
1021,Saunalahdentie,60.1926305828,24.87922144235
1024,Hertanmäenkatu,60.202539,24.922458
1038,Rummunlyöjänkatu,60.217261,24.806279
1062,Koskelan varikko,60.212701,24.969956
1067,Kirjurinkuja,60.21669478856165,24.82643506468404
1088,Teurastamo,60.1896994,24.9711926
1094,Torpanranta,60.1948358,24.8713963
1100,Linnuntie,60.234401,24.813954
1139,Kylävoudintie,60.22440378465167,24.95256124358972
1161,Hernepellontie,60.22421214100464,24.98860011548657
1167,Eerikinkatu,60.1673332,24.9357851
1195,Toinen linja,60.183164,24.9441949
1198,Hanasaari,60.16582,24.840319
1211,Margareetankuja,60.19100958139025,25.037070035460086
1225,Mankkaanlaaksontie,60.188706,24.780478
1228,Vesakkotie,60.22794236805671,24.92656476426376
1253,Orionintie,60.180118,24.771826
1282,Kriikunakuja,60.2056785,24.8916817
1297,Vihdintie,60.208925,24.8895209
1298,"Aalto-yliopisto (M), Korkeakouluaukio",60.184312,24.826671
1308,Mäkelänkatu,60.1896352,24.9635596
1332,Revontulentie,60.171551,24.802938
1362,Mellstenintie,60.154941,24.773993
1367,Karhulantie,60.21860147844144,25.10232484990167
1385,Nelikkotie,60.161588,24.74663
1405,Outotec,60.163412,24.742219
1414,Pajamäki,60.218807358014985,24.85566795479381
1415,Tekniikantie,60.180806,24.824747
1417,Otto Brandtin tie,60.23178406584145,24.978138919040457
1465,Itälahdenkatu,60.15066,24.8812502
1483,Läkkitori,60.221019,24.813109
1484,Postipuun koulu,60.223827,24.826396
1525,Komeetankatu,60.167216,24.735969
1543,Valimotie,60.21592223543679,24.87646479282845
1546,Hauenkalliontie,60.161138,24.756272
1574,Isosaarentie,60.17549032254954,25.04490070593989
1592,"Aalto-yliopisto (M), Tietotie",60.184987,24.820099
1627,Toppelundintie,60.1591405,24.782477
1634,Peukaloisentie,60.1987054995554,25.05854933123242
1642,Tiistinkallio,60.153737,24.729112
1646,Tammisalon aukio,60.19164687919301,25.06118417092495
1671,Olarinluoma,60.180848,24.760606
1688,Puotilantie,60.20905963366239,25.100426060233303
1729,Leppävaaran uimahalli,60.226379,24.804735
1849,Tapionaukio,60.176168,24.805825
1881,Lystimäensilta,60.17471,24.752442
1939,Matinlahdenranta,60.151041,24.754196
1977,Arielinkatu,60.185922,24.979739
2045,Relanderinaukio,60.18588749805257,25.00601922389024
2094,Vallilan varikko,60.195225,24.962832
2176,Otsolahti,60.178655,24.817423
2361,Tapiolan urheilupuisto,60.177749,24.784654
2398,Huopalahden asema,60.218088561019165,24.89505934373838
2420,Lepolantie,60.23910894200569,24.92859501499382
2517,Herttoniemen kirkko,60.19844295116548,25.032112127941765
2620,Kalkkipellonmäki,60.220551,24.833536
2689,Valimon asema,60.22229427877046,24.875870912746144
2762,Pohjolankatu,60.213421,24.9437964
2865,Abraham Wetterin tie,60.19270789626325,25.042580274921047
3007,Tiistiläntie,60.156755,24.737664
3010,Gebhardinaukio,60.190857,24.956262
3036,Opastinsilta,60.199235425819,24.937826370875783
3049,Laajasalon ostoskeskus,60.18009213610057,25.05188370479307
3106,Louhentori,60.18715,24.796959
3109,Ehrenströmintie,60.155309,24.9591271
3140,Messeniuksenkatu,60.1878352,24.9180102
3150,Lukutori,60.187086,24.742936
3155,Cygnaeuksenkatu,60.174063715,24.92822758053
3232,Tupasaarentie,60.187998177032696,25.015391648483803
3269,Mäntyviita,60.178702,24.810974
3306,Meilahden sairaala,60.1902195,24.9083351
3313,Keilalahti,60.171524,24.827467
3379,Leppäsuonaukio,60.16957343209,24.92659049777
3407,Vanha kirkkopuisto,60.1652883,24.9391499
3480,Apollonkatu,60.1760798,24.9223942
3564,Laajalahden keskus,60.203892,24.80493
3582,Siilitie 13,60.215063371665806,25.04379377901174
3612,Majurinkulma,60.210735,24.824954
3729,Yhdyskunnankuja,60.212508,24.819549
3881,Länsisatamankuja,60.15693191359567,24.912200440174857
3907,Itäportti,60.174914,24.738122
3959,Siilitie 9,60.20947670530612,25.03748221566049
3966,Pohjois-Haagan asema,60.230151499496536,24.88312884546424
4133,Marjaniemi,60.20360955659899,25.086296156701028
4177,Komentajankatu,60.216222,24.821932
4255,Huovitie,60.22197553556329,24.903286646676616
4457,Haukilahdenaukio,60.162396,24.775882
4537,Sofianlehdonkatu,60.2032721,24.9513636
4556,Jännetie,60.226769960915966,24.85354095884256
4638,Kalevankatu,60.16568,24.931422
4777,Matinkartanontie,60.156258,24.752489
