Lat,Lon,label_weekend,label_working,sum_score
60.15873,24.92783,155.24261187195762,275.32872741618576,421.8854621267111
60.15468,24.94141,154.6141891184327,239.37443223722408,374.68658515091283
60.17089,24.91424,149.31213790822582,240.31701767153743,370.5406955081322
60.1844,24.93598,129.75600074929093,241.24667337583213,369.9335021535809
60.16954,24.96586,172.92932709866585,238.9096270562124,367.92529045536673
60.17764,24.94141,150.3293872924848,236.1358800811291,367.5318104705838
60.16683,24.91153,132.28149425021547,232.75735089188424,361.8828897085945
60.18034,24.96586,131.23425362737132,214.75699656455404,323.0581125711349
60.18034,24.90609,122.60879049775625,188.97162414398872,305.2949307728913
60.19354,24.93003,100.83409459697567,188.82693303508825,275.4701415521069
60.19385,24.92239,102.15228208681484,183.44723211886287,269.9615004595455
60.19123,24.98123,92.53912166220393,179.9355415986245,266.9780562209846
60.18304,24.97129,111.88888242185388,176.87219017684646,262.96397389391734
60.18575,24.90609,96.42899210609204,186.60427890588343,252.85393087525188
60.19463,24.97371,96.00911423837628,186.4828320074328,249.11393530610252
60.1952,24.91424,93.7321206060355,168.62826630327774,234.3853600630752
60.15062,24.92511,97.41894115550296,159.6406691584991,228.1681843709298
60.19925,24.90881,80.9463877942785,147.7864607422803,222.80029626903996
60.16413,24.88165,106.4637831906054,172.64537154692414,220.39166685326543
60.20196,24.97401,78.29420379807443,157.3809670646048,220.05405002740076
60.18575,24.98759,83.20455934560857,127.48042646698237,208.86350178539277
60.20871,24.95771,80.55581312112984,142.42547657318693,205.63116052501834
60.20061,24.95771,82.0290284014735,156.2502822690584,204.63179994184006
60.16278,24.8735,98.81340654655476,147.64449022465578,193.18889890999787
60.18845,24.89523,82.22747839451327,157.1685604494596,179.3745536006713
