,date,Value,Prediction
0,2017-05-02,1.9166666666666667,5.779428734291456
1,2017-05-03,2.3333333333333335,5.032341702285307
2,2017-05-04,2.8333333333333335,4.675331002188736
3,2017-05-05,5.25,8.100228954218549
4,2017-05-06,11.083333333333334,8.27502547583187
5,2017-05-07,5.25,4.503142230374159
6,2017-05-08,1.75,3.202415366493298
7,2017-05-09,1.9166666666666667,2.82678984893183
8,2017-05-10,2.4166666666666665,2.272486261999981
9,2017-05-11,3.1666666666666665,2.850577059204039
10,2017-05-12,3.0,5.578221172970398
11,2017-05-13,8.916666666666666,6.996200749350906
12,2017-05-14,6.5,6.098426158692203
13,2017-05-15,4.25,4.758184857813382
14,2017-05-16,3.6666666666666665,5.487967569775928
15,2017-05-17,2.5,4.005291999607073
16,2017-05-18,3.5833333333333335,3.860203434185774
17,2017-05-19,12.75,13.011895706273991
18,2017-05-20,17.666666666666668,12.358082434638755
19,2017-05-21,16.083333333333332,13.649284937802092
20,2017-05-22,7.0,9.136881340440532
21,2017-05-23,6.0,7.682952589739775
22,2017-05-24,7.666666666666667,7.300872587058072
23,2017-05-25,11.166666666666666,11.141222074121496
24,2017-05-26,10.916666666666666,11.249229523573241
25,2017-05-27,6.75,5.6185815945058915
26,2017-05-28,10.833333333333334,6.485608857713459
27,2017-05-29,8.75,9.058252056115935
28,2017-05-30,6.083333333333333,4.432761402733652
29,2017-05-31,0.0,4.841252102904841
30,2017-06-01,4.0,4.307309491565895
31,2017-06-02,4.166666666666667,5.541566698687361
32,2017-06-03,10.666666666666666,10.606740275852406
33,2017-06-04,12.833333333333334,10.646715365883114
34,2017-06-05,3.25,4.334983571455339
35,2017-06-06,8.75,13.538020166353563
36,2017-06-07,14.916666666666666,13.204594461557527
37,2017-06-08,3.3333333333333335,4.552396611824979
38,2017-06-09,17.083333333333332,12.955356389671836
39,2017-06-10,15.916666666666666,14.32144148310807
40,2017-06-11,15.25,11.419470386967177
41,2017-06-12,2.0,3.720278211807278
42,2017-06-13,4.916666666666667,4.572943453665179
43,2017-06-14,11.666666666666666,13.771596264134805
44,2017-06-15,16.0,13.686024037202197
45,2017-06-16,12.25,15.029004376743513
46,2017-06-17,24.25,17.79703745465067
47,2017-06-18,11.333333333333334,10.755598948622817
48,2017-06-19,14.75,14.52479126492944
49,2017-06-20,6.666666666666667,6.353121130088599
50,2017-06-21,6.666666666666667,7.356528010733723
51,2017-06-22,6.166666666666667,7.039673242967507
52,2017-06-23,9.583333333333334,9.048922956144965
53,2017-06-24,10.583333333333334,9.114727158191338
54,2017-06-25,6.0,6.256416448833491
55,2017-06-26,8.0,6.795742477607178
56,2017-06-27,8.333333333333334,7.938358011794456
57,2017-06-28,11.25,13.338758725306382
58,2017-06-29,15.583333333333334,15.412290845480124
59,2017-06-30,0.0,7.53086076299012
60,2017-07-01,4.75,4.764938986051376
61,2017-07-02,11.916666666666666,10.509668892146403
62,2017-07-03,7.583333333333333,6.86687950003446
63,2017-07-04,10.833333333333334,5.648236511303948
64,2017-07-05,7.916666666666667,8.536944698103325
65,2017-07-06,13.083333333333334,8.485251484819864
66,2017-07-07,12.0,12.235710232106547
67,2017-07-08,19.833333333333332,15.313210833961856
68,2017-07-09,15.416666666666666,14.564238593239084
69,2017-07-10,16.083333333333332,15.021773139099956
70,2017-07-11,5.166666666666667,4.710359366957204
71,2017-07-12,9.583333333333334,8.177756158221786
72,2017-07-13,4.333333333333333,4.488320254627358
73,2017-07-14,13.5,12.538354519314991
74,2017-07-15,18.166666666666668,16.27072238970507
75,2017-07-16,22.166666666666668,17.113037202561532
76,2017-07-17,4.083333333333333,7.2169993205819525
77,2017-07-18,8.666666666666666,10.924085537076872
78,2017-07-19,5.916666666666667,8.252475512452524
79,2017-07-20,10.583333333333334,11.19301354629374
80,2017-07-21,17.166666666666668,14.693118926236066
81,2017-07-22,14.166666666666666,13.183628690469375
82,2017-07-23,16.0,13.866017964849277
83,2017-07-24,9.0,8.870228861948181
84,2017-07-25,10.5,9.252396246074644
85,2017-07-26,16.416666666666668,14.80756330883566
86,2017-07-27,23.5,17.20353400377689
87,2017-07-28,10.666666666666666,9.30024570669112
88,2017-07-29,16.75,12.982225214310262
89,2017-07-30,20.083333333333332,13.935977810256851
90,2017-07-31,0.0,6.745089026586548
91,2017-08-01,15.25,12.683175370046877
92,2017-08-02,10.0,9.764643471203328
93,2017-08-03,16.25,11.437093274627543
94,2017-08-04,8.416666666666666,7.042122855037668
95,2017-08-05,12.583333333333334,7.87860339222221
96,2017-08-06,4.333333333333333,4.446604102747373
97,2017-08-07,7.25,7.827738440394307
98,2017-08-08,13.916666666666666,12.274018768117408
99,2017-08-09,15.833333333333334,12.567202557351385
100,2017-08-10,14.916666666666666,10.939488165161878
101,2017-08-11,17.166666666666668,13.675754438043896
102,2017-08-12,12.666666666666666,9.983285279426756
103,2017-08-13,10.416666666666666,7.890164758641322
104,2017-08-14,12.25,12.497503855116387
105,2017-08-15,12.166666666666666,11.250240265227001
106,2017-08-16,11.916666666666666,11.019208082556169
107,2017-08-17,14.333333333333334,11.81576852771395
108,2017-08-18,8.416666666666666,9.140651346209832
109,2017-08-19,5.833333333333333,6.273029361913745
110,2017-08-20,11.916666666666666,9.126374861204999
111,2017-08-21,10.166666666666666,9.166326119503273
112,2017-08-22,8.416666666666666,8.721574378578117
113,2017-08-23,6.583333333333333,6.388479577122632
114,2017-08-24,10.5,7.15295804622675
115,2017-08-25,5.333333333333333,4.66129096828002
116,2017-08-26,10.583333333333334,5.500827144636012
