,station_lat,station_lon,ACCOMMODATION,RESTAURANTS & CAFES,SAUNA & WELLNESS,MEETING PLACES,VENUES,WORK & STUDY,SERVICES,BARS & NIGHTLIFE,BANQUET VENUES,SIGHTS & ATTRACTIONS,NATURE & SPORTS,MUSEUMS & GALLERIES,SHOPPING,TOTAL
37,60.1618133723859,24.9065572669725,0.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,5.0,2.0,0.0,9.0,0.0,26.0
38,60.16183589999999,24.936817899999998,1.0,8.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,17.0,34.0
39,60.1619311,24.9214896,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,12.0
40,60.16222510000001,24.9297099,0.0,6.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,4.0,4.0,24.0
41,60.162395999999994,24.775882,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,60.162403000000005,24.738416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,60.1624471,24.7848628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,60.162477,24.767831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,60.162842000000005,24.721367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,60.1631032,24.94596,3.0,9.0,1.0,2.0,5.0,1.0,0.0,7.0,2.0,4.0,0.0,5.0,15.0,54.0
47,60.163412,24.742219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,60.16345894291,24.94177084206,2.0,14.0,2.0,7.0,4.0,0.0,1.0,10.0,3.0,2.0,0.0,7.0,29.0,81.0
49,60.1635309,24.9145165,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
50,60.1637,24.790132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,60.164088,24.9225658,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
52,60.1647545,24.967486100000002,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,9.0
53,60.16478138043,24.90096080349,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0
54,60.1650171805,24.949472878729996,6.0,12.0,0.0,4.0,2.0,0.0,0.0,4.0,3.0,2.0,0.0,2.0,11.0,46.0
55,60.16528829999999,24.939149899999997,2.0,24.0,1.0,4.0,0.0,1.0,0.0,8.0,3.0,2.0,0.0,10.0,34.0,89.0
56,60.16534300000001,24.953535000000002,3.0,10.0,0.0,4.0,1.0,0.0,0.0,2.0,4.0,2.0,0.0,1.0,5.0,32.0
57,60.1654485,24.8601992,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
58,60.165603000000004,24.732688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,60.16568,24.931422,3.0,20.0,0.0,2.0,2.0,0.0,0.0,5.0,1.0,1.0,2.0,3.0,8.0,47.0
60,60.165812100000004,24.927021,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,15.0
61,60.16582,24.840319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,60.166890083486,24.9442610720753,2.0,45.0,2.0,9.0,3.0,1.0,1.0,8.0,7.0,5.0,0.0,7.0,30.0,120.0
63,60.167216,24.735969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,60.16723083050999,24.94746581951,4.0,31.0,1.0,11.0,6.0,0.0,1.0,4.0,10.0,4.0,0.0,5.0,32.0,109.0
65,60.16733320000001,24.935785100000004,3.0,27.0,2.0,5.0,5.0,0.0,0.0,14.0,3.0,2.0,3.0,3.0,29.0,96.0
66,60.167457299999995,24.9510227,2.0,26.0,0.0,9.0,6.0,1.0,0.0,3.0,9.0,10.0,0.0,1.0,32.0,99.0
67,60.16773050334599,25.04749626488771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,60.1678703,24.9755341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,60.1680998,24.9220763,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
70,60.16814300000001,24.796135999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,60.168266,24.805757999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,60.168383999999996,24.958381399999997,0.0,12.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,7.0,2.0,1.0,2.0,32.0
73,60.168441,24.743532000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,60.168609499999995,24.9305373,1.0,27.0,0.0,3.0,4.0,0.0,0.0,6.0,2.0,4.0,1.0,1.0,11.0,60.0
75,60.16886855835367,25.02086095530966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,60.168971,24.724908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,60.16907239999999,24.9394195,7.0,41.0,1.0,9.0,7.0,0.0,0.0,22.0,7.0,4.0,3.0,0.0,39.0,140.0
78,60.16912779999999,24.952641399999997,0.0,19.0,0.0,8.0,4.0,1.0,0.0,2.0,6.0,13.0,0.0,5.0,21.0,79.0
79,60.169573432090004,24.92659049777,2.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,14.0
80,60.16986222858001,24.9481463998,4.0,20.0,1.0,6.0,5.0,2.0,0.0,6.0,5.0,5.0,0.0,2.0,19.0,75.0
81,60.1700420359,24.93460698,2.0,28.0,0.0,4.0,6.0,0.0,0.0,10.0,4.0,3.0,1.0,1.0,20.0,79.0
82,60.1706061,24.9397601,2.0,21.0,0.0,6.0,3.0,0.0,2.0,8.0,4.0,4.0,0.0,2.0,18.0,70.0
83,60.170758,24.763184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,60.170823600000006,24.9425268,3.0,19.0,0.0,3.0,5.0,0.0,2.0,8.0,0.0,3.0,1.0,1.0,9.0,54.0
85,60.17110664588,24.955558192839998,1.0,6.0,0.0,2.0,3.0,0.0,0.0,4.0,1.0,6.0,0.0,2.0,7.0,32.0
86,60.171127,24.775913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,60.171159100000004,24.924961,1.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,13.0
88,60.1712579,24.9374279,2.0,10.0,0.0,7.0,2.0,0.0,1.0,3.0,6.0,5.0,0.0,4.0,7.0,47.0
