max_lat,min_lon,min_lat,max_lon
60.1532046472929, 24.938898743444675, 60.11285205820413, 25.132363279555587
60.1434602715012, 24.712610299112313, 60.05083490580756, 25.234126969707884
60.15510804924406, 24.794468192987928, 60.148810050657715, 24.808032736630487
60.158412351887314, 24.801557489071897, 60.15279292058046, 24.813258102477523
60.16243558714346, 24.808724533424172, 60.15773967999185, 24.824200858385478
60.16170587258337, 24.81269162301213, 60.137575939985155, 24.851259813058018
60.16251009241094, 24.96227410487499, 60.15030517433896, 24.99408182481561
60.15796183690503, 25.004180195682096, 60.14846393089203, 25.030937585660745
60.17247971171107, 24.983171937256216, 60.170118258638155, 24.99176208254281
60.171650410522986, 24.864554499768435, 60.16926546118739, 24.870016732333394
60.15386434501862, 24.95053124696408, 60.15156324775017, 24.955439901406272
60.18289532147193, 24.964445547966076, 60.179495710564325, 24.97066870190879
60.15121571123688, 24.765500715655886, 60.14861210360866, 24.77027301809288
60.13982636472976, 24.699471032586686, 60.13630605268024, 24.708564477864016
60.14804123839783, 24.9175518689669, 60.14442042833013, 24.929329641471906
60.2101554790544, 24.99043895906892, 60.20185885514942, 25.00351412490061
60.187018324405265, 24.98652876017598, 60.18513786768456, 24.989733131573402
60.15717170525437, 25.040797174317213, 60.14485331673213, 25.08479807672815
60.164237572042516, 25.09251535879425, 60.15028894084191, 25.154652618459576
60.1786680654238, 25.07982069172303, 60.17414254558557, 25.091659017543613
60.1875030385971, 25.094589237838292, 60.16003805445903, 25.200118104261772
60.18809853941084, 25.112829508372492, 60.18424855693535, 25.12374995155655
60.199774911975396, 25.081613262385744, 60.195628187776784, 25.095764548352538
60.16013907173661, 24.924151728220455, 60.15837133267785, 24.92993876088255
