,nearest_node_index,Lat,Lon
161,8869507129,60.13711,24.67247
162,7803237323,60.13846,24.67247
163,57759066,60.13981999999999,24.67247
164,2808556966,60.14117,24.67247
165,1702578556,60.14252,24.67247
166,1657716212,60.14386999999999,24.67247
167,252397649,60.14522,24.67247
168,7934880185,60.14657,24.67247
169,57677992,60.14791999999999,24.67247
170,6876022578,60.14927,24.67247
171,250052119,60.15062,24.67247
172,8343248441,60.15197,24.67247
173,26547739,60.15332,24.67247
174,8646575986,60.154680000000006,24.67247
175,7977296604,60.15603,24.67247
176,5123631837,60.15738,24.67247
177,252933335,60.158730000000006,24.67247
178,8614763992,60.16008000000001,24.67247
179,8614764074,60.16143,24.67247
180,7532910923,60.162780000000005,24.67247
181,280670079,60.16413000000001,24.67247
182,7532910945,60.16548,24.67247
183,7532910987,60.16683,24.67247
184,7532910975,60.16818000000001,24.67247
185,7532910980,60.169540000000005,24.67247
186,500321360,60.17089,24.67247
187,8680265698,60.17224,24.67247
188,3598478622,60.17359,24.67247
189,275284570,60.17494,24.67247
190,5508800112,60.17629,24.67247
191,275275045,60.17764,24.67247
192,3433932200,60.17899,24.67247
193,30485345,60.18034,24.67247
194,8946319605,60.18169,24.67247
195,3235243566,60.183040000000005,24.67247
196,473099743,60.1844,24.67247
197,501587298,60.18575,24.67247
198,501587247,60.1871,24.67247
199,501587065,60.18845,24.67247
200,8932830256,60.1898,24.67247
201,8932830256,60.19115,24.67247
202,7449672517,60.1925,24.67247
203,2319876316,60.19385,24.67247
204,2319898413,60.1952,24.67247
205,2319494633,60.19655,24.67247
206,1550923118,60.1979,24.67247
207,2319691219,60.19925,24.67247
208,2319436346,60.20061,24.67247
209,2320090514,60.20196,24.67247
210,2044940290,60.20331,24.67247
211,7860939392,60.20466,24.67247
212,3438863520,60.20601,24.67247
213,2375835697,60.20736,24.67247
214,26430035,60.20871,24.67247
215,260169922,60.21006,24.67247
216,5519426727,60.21141,24.67247
