,station_name,latitude,longitude,number
0,A.I. Virtasen aukio,60.205577,24.962152,143.09673469387755
1,"Aalto-yliopisto (M), Korkeakouluaukio",60.184312,24.826671,762.464161177838
2,"Aalto-yliopisto (M), Tietotie",60.184987,24.820099,223.1017693400491
3,Abraham Wetterin tie,60.19270789626325,25.042580274921047,139.53870056497175
4,Agnetankuja,60.187234122757424,25.036412289626025,166.54774011299435
5,Agronominkatu,60.2340530100318,25.032857400999006,78.73770491803279
6,Ahertajantie,60.17875,24.797984,79.17241379310344
7,Alakiventie,60.21985096601641,25.077470244052627,36.74435028248587
8,Albertinkatu,60.1618359,24.9368179,436.9472884525479
9,Annankatu,60.16345894291,24.94177084206,411.7787439613527
10,Apollonkatu,60.1760798,24.9223942,682.79195885928
11,Arabian kauppakeskus,60.2027912,24.9666128,679.3263207106124
12,Arabiankatu,60.20649156514502,24.977079011778606,340.74403927068727
13,Arielinkatu,60.185922,24.979739,243.9351332398317
14,Asentajanpuisto,60.19912713758262,25.042592465753465,75.16892655367232
15,Aulangontie,60.23030192663912,24.998533819860555,48.032203389830514
16,Auringonkatu,60.171548,24.731472,65.93022440392707
17,Avaruuskatu,60.168971,24.724908,54.366877045348296
18,Baana,60.164088,24.9225658,633.6975222066386
19,Betonimies,60.180027,24.831804,60.508196721311485
20,Brahen kenttä,60.1868618,24.9509168,492.7454417952314
21,Brahen puistikko,60.1896706,24.9481024,397.9373539036933
22,Cygnaeuksenkatu,60.174063715,24.92822758053,242.42573157179896
23,Derby Business Park,60.209017,24.835356,18.19852941176471
24,Designmuseo,60.1631032,24.94596,274.84665731650296
25,Diakoniapuisto,60.186979,24.943358,675.364422627396
26,Eerikinkatu,60.1673332,24.9357851,227.11453950444132
27,Ehrenströmintie,60.155309,24.9591271,246.1984572230014
28,Elfvik,60.203852,24.8231,30.455050237969328
29,Elimäenkatu,60.1962627,24.9476186,241.1597709209911
30,Eläinmuseo,60.1713589074265,24.9318975121428,224.0280504908836
31,Erottajan aukio,60.166890083486,24.9442610720753,151.89855072463766
32,Eränkävijäntori,60.204561663649095,25.033597412211737,103.65429573348919
33,Esterinportti,60.1975724,24.9267808,377.41608228143997
34,Eteläesplanadi,60.16723083051,24.94746581951,594.408695652174
35,Eteläinen Hesperiankatu,60.17558787407832,24.915662751685453,407.8347358578775
36,Etuniementie,60.160645,24.724835,45.415614773258525
37,Fleminginkatu,60.1895417,24.9521601,518.610448807854
38,Friisilänaukio,60.162842,24.721367,54.168668474751385
39,Gallen-Kallelan tie,60.206142,24.840699,83.2085020242915
40,Gebhardinaukio,60.190857,24.956262,259.5472183263207
41,Golfpolku,60.168143,24.796136,45.63980369365879
42,Gransinmäki,60.222154,24.804898,22.839307359307355
43,Gunillantie,60.171980271468335,25.032968849816825,57.999717514124285
44,Gyldenintie,60.1583842,24.8766658,592.073165030388
45,Haagan tori,60.21227524113252,24.89955113635681,175.2409604519774
46,Haakoninlahdenkatu,60.16886855835367,25.020860955309665,30.460451977401128
47,Haapaniemenkatu,60.1831601181109,24.9551952848703,255.16023842917252
48,Hagalundinpuisto,60.18363,24.817403,23.720621468926552
49,Hakalehto,60.173567,24.79139,114.80550174351026
50,Hakaniemi (M),60.17810631604,24.95218124892,611.1140719962599
51,Hanasaari,60.16582,24.840319,95.87019914651493
52,Hauenkallio,60.162477,24.767831,43.842180033578714
53,Hauenkalliontie,60.161138,24.756272,90.58736923672996
54,Haukilahdenaukio,60.162396,24.775882,92.07245253777606
55,Haukilahdenkatu,60.1985314,24.9676708,484.2062879850397
56,Haukilahdenranta,60.158048,24.769864,74.1092599767532
57,Heikkilänaukio,60.1540763,24.8793159,338.46797568957453
58,Heikkiläntie,60.156817,24.8850653,325.4157316503039
59,Hernepellontie,60.22421214100464,24.98860011548657,58.73770491803279
60,Hernesaarenranta,60.15352968178976,24.93125406706023,487.8370733987845
61,Hertanmäenkatu,60.202539,24.922458,193.7215988779804
62,Herttoniemen kirkko,60.19844295116548,25.032112127941765,67.4090395480226
