Lat,Lon,label_weekend,label_working,sum_score
60.16954,24.96586,150.29656660595228,247.3608937506096,355.25594441076134
60.17764,24.94141,121.3158101792285,248.6461181231377,351.8369923336624
60.16683,24.91153,120.23506136147095,231.1763962940849,348.3733182521937
60.15468,24.94141,139.75060951791485,223.06236138869977,345.03827204375455
60.17089,24.91424,127.62959245610904,230.69496006546288,340.76974735480906
60.1844,24.93598,111.4736421902712,226.76611867469936,337.2650065108928
60.15738,24.92783,131.18894415617007,249.60505356053065,309.46370995997006
60.18034,24.90609,106.43361953866524,204.37036841623157,304.5341668722332
60.19354,24.93003,107.76361275998134,208.71260700458316,300.97162110174725
60.18304,24.97129,103.39443078677988,180.31109518012437,258.3600755202932
60.19385,24.92239,90.13855910338476,182.6487566401826,257.85083447806943
60.18575,24.90609,98.46137179328532,175.10440971970365,244.39594313840513
60.19115,24.97944,109.30750832544403,192.4950366010423,243.52943106459992
60.19925,24.90881,85.42766760617035,157.0895751487049,236.22717017621852
60.1952,24.91424,87.69840836100303,166.88719830759288,227.43959097194448
60.19463,24.97371,94.25629579359114,153.07902229693215,218.11126033342973
60.15062,24.92511,86.52742183846269,136.12143701134852,197.62492370530794
60.16143,24.87078,76.62880748117956,135.36296881865093,195.49673895085232
60.20461,24.94052,65.68579139556769,127.6554713284109,182.75485352583564
60.16413,24.88165,82.58440311837637,147.9094399405936,182.00378385636247
60.20196,24.91424,62.505451843299966,125.27569069053102,175.33455383562315
60.20061,24.95771,69.19391883459615,125.62828788421898,167.31128991990462
60.20871,24.95771,56.35696668597458,123.78913294201342,166.12896795664597
60.20532,24.93017,55.28617668013486,112.6361577188817,165.50270422035638
60.15332,24.91153,75.89060390979397,142.48948610284194,164.88640802106804
