,departure,number,departure_name,departure_latitude,departure_longitude
76,Intiankatu,118.3804347826087,Intiankatu,60.2078582,24.9676383
77,Isoisänsilta,246.58426966292134,Isoisänsilta,60.18265182058,24.98179260578
78,Isosaarentie,26.050847457627118,Isosaarentie,60.17549032254954,25.04490070593989
79,Itäkeskus (M),66.69491525423729,Itäkeskus (M),60.20960066552812,25.07596801515546
80,Itäkeskus Metrovarikko,4.714285714285714,Itäkeskus Metrovarikko,60.211446,25.065816
81,Itälahdenkatu,90.48913043478261,Itälahdenkatu,60.15066,24.8812502
82,Itämerentori,538.7826086956521,Itämerentori,60.1635309,24.9145165
83,Itäportti,18.71264367816092,Itäportti,60.174914,24.738122
84,Jalavatie,70.44565217391305,Jalavatie,60.1934696,24.905889
85,Juhana Herttuan tie,60.42391304347826,Juhana Herttuan tie,60.2184427,24.9664619
86,Jämeräntaival,178.5977011494253,Jämeräntaival,60.188118,24.835033
87,Jännetie,37.57627118644068,Jännetie,60.226769960915966,24.85354095884256
88,Jätkäsaarenlaituri,243.27173913043478,Jätkäsaarenlaituri,60.1619311,24.9214896
89,Jäähalli,80.55434782608695,Jäähalli,60.1894025,24.9205978
90,Kaapelitehdas,55.44,Kaapelitehdas,60.1618133723859,24.9065572669725
91,Kaisaniemenpuisto,148.5326086956522,Kaisaniemenpuisto,60.17319894172505,24.943301000681707
92,Kaivopuisto,302.69565217391306,Kaivopuisto,60.15544479382098,24.95029288969032
93,Kalasatama (M),287.0,Kalasatama (M),60.18755649,24.9770684
94,Kalevalantie,32.88505747126437,Kalevalantie,60.184765,24.804022
95,Kalevankatu,131.05434782608697,Kalevankatu,60.16568,24.931422
96,Kalkkipellonmäki,18.32,Kalkkipellonmäki,60.220551,24.833536
97,Kamppi (M),361.79347826086956,Kamppi (M),60.1686095,24.9305373
98,Kanavaranta,328.44565217391306,Kanavaranta,60.168384,24.9583814
99,Kansallismuseo,91.6304347826087,Kansallismuseo,60.1739641,24.9329875
100,Kapteeninpuistikko,146.56521739130434,Kapteeninpuistikko,60.1581892,24.9449274
101,Karhulantie,19.913793103448278,Karhulantie,60.21860147844144,25.10232484990167
102,Karhupuisto,108.66304347826087,Karhupuisto,60.1842833,24.9526763
103,Kasarmitori,73.73913043478261,Kasarmitori,60.1650171805,24.94947287873
104,Katariina Saksilaisen katu,51.98360655737705,Katariina Saksilaisen katu,60.217214807977534,24.98442007835869
105,Kauppakorkeakoulu,127.25,Kauppakorkeakoulu,60.1711591,24.924961
106,Keilalahti,26.03448275862069,Keilalahti,60.171524,24.827467
107,Keilaniemi (M),41.10344827586207,Keilaniemi (M),60.175233,24.82895
108,Keilaranta,17.275862068965516,Keilaranta,60.178762,24.835132
109,Kesäkatu,130.81521739130434,Kesäkatu,60.1792967,24.9132504
110,Kiasma,198.68478260869566,Kiasma,60.1712579,24.9374279
111,Kirjurinkuja,78.63157894736842,Kirjurinkuja,60.21669478856165,24.82643506468404
112,Kirkkoherrantie,22.704918032786885,Kirkkoherrantie,60.22493036511101,24.972819375145058
113,Kiskontie,46.43478260869565,Kiskontie,60.1989402,24.9012997
114,Koivu-Mankkaa,18.666666666666668,Koivu-Mankkaa,60.182976,24.78576
115,Komeetankatu,50.252873563218394,Komeetankatu,60.167216,24.735969
116,Komentajankatu,31.092105263157894,Komentajankatu,60.216222,24.821932
117,Korjaamo,222.06521739130434,Korjaamo,60.1838677,24.9198371
118,Korkeasaari,74.90322580645162,Korkeasaari,60.1799061407845,24.9825269338027
119,Korppaanmäentie,56.81521739130435,Korppaanmäentie,60.2034735,24.8989297
120,Koskelan varikko,27.69047619047619,Koskelan varikko,60.212701,24.969956
121,Koskelantie,113.65217391304348,Koskelantie,60.208749,24.9465139
